,fr,hr,fl,hl
0,3.345111297343632,8.463038026799847,5.570968976691869,5.7487336019315585
1,3.8541466017888952,7.141218758792002,5.629143214934627,5.67808656785426
2,4.221772975476603,6.041017448593883,5.566331928340613,5.555666384664944
3,4.09656872676753,6.552742346011879,7.153767500073455,5.30500618264048
4,4.503644623155356,6.303303958832249,6.569284853877003,5.4490033832572315
5,4.380959089418136,6.570512114748295,6.693718773910599,5.321737771753858
6,4.26531011647679,6.708816810432126,6.598357706423126,5.437364791084807
7,3.9341243150395506,6.65395421318938,6.643377303458027,5.0679772159515135
8,4.040144391265807,6.718063124469474,6.62162602504254,4.998060630491253
9,3.946239689533746,6.6224076818454645,6.632608734960092,4.99224145277066
10,4.038183238634977,6.807778941769371,6.654824081599135,5.0252378473761095
11,3.9822498051892223,8.217118803770894,5.923890771412324,4.948387217643856
12,4.437864839331752,8.117731795861147,5.960370403035601,4.8452772139395766
13,4.3244361313099535,8.131113961625003,5.961772388144595,4.821723344595114
14,4.40277948900772,8.173866556919192,5.8957670874862895,4.941112719428546
15,4.336956188849896,8.014457912707943,5.775737913829978,4.8741722123554485
16,4.3974212008057965,7.4450037196092556,5.811964375926781,4.9408530217852125
17,4.337458896048702,7.544463797811353,5.809882844002351,4.854100283086817
18,4.405294040795125,7.531871895441352,5.752741692617969,5.050693673287595
19,4.2910125025179635,6.9463299469508275,6.580844146788959,5.318682163351324
20,4.170091260193766,6.8282567655559046,6.9206551728994405,5.34681592726608
21,4.514263549631975,6.898014273321323,6.783080148989182,5.353245914433545
22,3.6892379264532362,6.848374970215775,6.880037037305337,5.405376365780985
23,3.7096943358778556,6.884674702754643,6.805157271223374,5.4831860317136805
24,3.712201327007505,6.859885670350061,6.860183806229557,5.423679639588175
25,3.6956119347319154,6.871987203109305,6.735291236475626,5.4772269623856875
26,3.9573315555267525,6.878761170979933,6.7884810682168375,5.424586468888399
27,3.880642283590336,6.825800534690176,6.749761067735152,5.485891841690922
28,3.6094902640239157,8.283254158764354,6.7714111525534,5.545440618416534
29,3.6070924551263257,8.379788930364526,6.761650058219347,5.56583571311746
30,3.6032574123688224,8.328607913398454,6.763626250777038,5.539669147730583
31,3.6139584877277002,8.355701404869347,6.776906813317623,5.567354176579743
32,3.599530784827409,8.355240764430619,6.743060705549214,5.539059036833722
33,3.6157006775259317,8.303269574171564,6.215481356185631,5.568168797009583
34,3.5919751743178434,8.611088905144639,6.29358925050403,5.536502132638879
35,3.8017691335733375,9.169984860943062,6.20563307896348,5.5793000863306315
36,4.027667699848901,8.55353468877773,6.454974710846358,5.473757282626867
37,3.897689458346486,8.54133089095566,6.458452995807102,5.79801160978678
38,4.006217475380476,8.498753026730299,6.427800659736789,5.732622444106386
39,3.898246757423423,8.550825364544291,6.486217110569765,5.792076890947204
40,4.034534120651284,8.491178489360454,6.386551117462306,5.711093469299205
41,3.577722700870763,8.588218347495975,6.6051492001149406,5.767853528769696
42,3.4577863486771294,8.798952208385483,6.877907271353147,5.733788360997112
43,3.5794336890421974,8.59099171632992,6.768442876200549,5.795446078779291
44,3.7472933344654193,8.42136450734152,6.508675114934002,5.743355485395357
45,3.596688238233596,8.502847145194753,6.45707207736185,5.649080459032266
46,3.6680979979323087,8.439358868434205,6.525903380192197,5.236118241861963
47,3.6192059253542395,8.496341124148366,6.522739846770017,5.344696045269272
48,3.65314246369387,8.44008873137251,6.492823418331543,5.275121596712447
49,3.6314233151072015,8.506757163494584,6.547240045440978,5.3406806687331665
50,3.641783966690361,8.765993523353984,6.468462547552555,5.27360135480355
51,3.6438534785623116,8.773824011118261,6.591839204665355,5.376068538264752
52,3.622084432048351,8.754632497191608,6.5876446949398275,5.5368745527576095
53,3.7803390733633404,8.777908001902636,6.723931441923966,5.6683559549303775
54,3.7893469607853945,8.751012377710726,6.676192137135644,5.575217363514394
55,3.78317537285689,8.784539855293172,6.44978445440968,5.641293595836011
56,3.780950930142183,8.73075100251708,6.394224966556791,5.503165203360238
57,3.809518093318405,9.20682757774361,6.5255751133020485,5.460649958437978
58,3.3354597240157604,9.242381396141692,6.451603931139365,5.353818039797334
59,3.2287126509744937,9.240684699033963,6.502538475616079,5.399549584943344
60,3.2169392344476275,9.357945788252586,5.585546823408287,5.40880730799884
